example_id                                                     | status  | run_time        |
-------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/companies_controller_spec.rb[1:1:1]         | passed  | 0.04268 seconds |
./spec/controllers/companies_controller_spec.rb[1:1:2]         | passed  | 0.02502 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:1:1] | passed  | 0.04213 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:1:2] | passed  | 0.00344 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:2:1] | passed  | 0.00122 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:2:2] | passed  | 0.00137 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:3:1] | passed  | 0.02307 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:3:2] | passed  | 0.00927 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:4:1] | passed  | 0.01818 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:4:2] | passed  | 0.00246 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:5:1] | passed  | 0.00161 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:5:2] | passed  | 0.00174 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:6:1] | passed  | 0.00197 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:6:2] | passed  | 0.00163 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:7:1] | passed  | 0.00127 seconds |
./spec/controllers/customer_requests_controller_spec.rb[1:7:2] | passed  | 0.00141 seconds |
./spec/helpers/customer_requests_helper_spec.rb[1:1]           | pending | 0.00001 seconds |
./spec/models/company_service_spec.rb[1:1]                     | passed  | 0.02537 seconds |
./spec/models/company_spec.rb[1:1:1]                           | passed  | 0.03194 seconds |
./spec/models/customer_request_spec.rb[1:1]                    | pending | 0.00001 seconds |
./spec/models/role_spec.rb[1:1]                                | pending | 0.00002 seconds |
./spec/models/service_category_spec.rb[1:1]                    | passed  | 0.02417 seconds |
